job_title,company_name,job_summary,job_link,job_tech_stack
Senior frontend developer (E01),Tech People Hungary Kft.,"Creating new functionalities of the financial systems Participation in the creation of the new, state of the art systems user interface Write clear, maintainable and testable code that you are proud of Confession free participation in cross-team function Running the mentorship wi...",https://www.profession.hu/allas/senior-frontend-developer-e-tech-people-hungary-kft-budapest-2243868?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Software Engineer/Developer,Deutsche Telekom TSI Hungary Kft.,"Job Description  We construct and manage solutions for automating infrastructure rollout as well as IP address management, while also establishing the groundwork for data-driven decision-making through our data analytics platform. We are currently taking over a new responsib...",https://www.profession.hu/allas/software-engineer-developer-deutsche-telekom-tsi-hungary-kft-2250106?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ANALYTICS', 'DATABASE', 'CLOUD', 'PYTHON', 'ANGULAR', 'KOTLIN', 'JAVA', 'SQL', 'DATABASES', 'LINUX', 'DOCKER', 'VISIO']"
Mobil Product Manager,profession.hu Kft.,", riportálni a kollégáid felé. Ehhez kapsz segítséget adatelemző és piackutató munkatársaktól is...",https://www.profession.hu/allas/mobil-product-manager-profession-hu-kft-budapest-2252480/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Application Support Engineer,thyssenkrupp Components Technology Hungary Kft.,The development of solutions for our future PLM / ALM landscape based on the Siemens PLM application suite is your primary goal. You will take part in developing concepts and in the technical realization. You will configure our PLM system landscape and adapt it from a technical p...,https://www.profession.hu/allas/application-support-engineer-thyssenkrupp-components-technology-hungary-kft-2255459?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ANALYTICS', 'SQL']"
C++ Software Engineer - Industry Automation,evosoft Hungary Kft.,"design, implement, test and maintain product features in C++, on Linux/Windows, using Agile methods on a daily basis using Microsoft Azure DevOps and git mentoring and sharing knowledge among teams working in cross-functional team, embrace change to overcome challenges resolve c...",https://www.profession.hu/allas/c-software-engineer-industry-automation-evosoft-hungary-kft-2245840/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
IT Project Manager,Wonderline Europe Zrt.,"és üzleti folyamatok oktatása Kapcsolattartás csapatokkal (megrendelő, üzleti elemző, fejlesztő, tesztelő...",https://www.profession.hu/allas/it-project-manager-wonderline-europe-zrt-budapest-2260546?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Software Engineer (Java),LOXON SOLUTIONS Zrt.,participate in the developmentand long-term support of high-quality customer data management software be part of an excellent team: both talented and motivated developers and business analysts support and implement new features to our existing productwith Java technologies (JavaE...,https://www.profession.hu/allas/software-engineer-java-loxon-solutions-zrt-2242151/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['JAVA', 'SQL', 'DATABASE', 'SPRING', 'GIT', 'LINUX', 'ORACLE', 'MSSQL', 'POSTGRESQL', 'APACHE', 'DOCKER', 'DATA MANAGEMENT']"
IT Product Owner,OTP Bank Nyrt.,", Döntéshozatali képesség Proaktív munkavégzés. 2 év product owner tapasztalat, IT fejlesztői vagy Business... Analyst tapasztalat, Új rendszer bevezetésében szerzett tapasztalat, Korszerű IT megoldások ismerete...",https://www.profession.hu/allas/it-product-owner-otp-bank-nyrt-budapest-2251845?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
IT Consultant (Core Application Delivery),E.ON Digital Technology Hungary Kft.,Business Analyst feladatok ellátása Projektekben delegálás esetén részvétel Üzleti és technikai tanácsadás...,https://www.profession.hu/allas/it-consultant-core-application-delivery-e-on-digital-technology-hungary-kft-2254857?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
IT folyamatfejlesztő - Camunda BPM,OTP Bank Nyrt.,és/vagy üzleti elemző és/vagy folyamatfejlesztő munkakörben szerzett legalább 1 év szakmai...,https://www.profession.hu/allas/it-folyamatfejleszto-camunda-bpm-otp-bank-nyrt-budapest-2251863?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['SQL', 'ORACLE', 'JAVASCRIPT', 'XML', 'JSON', 'POSTMAN', 'GIT']"
Rendszerszervező,MVM Informatika Zrt.,érzékenység Szakmai gyakorlat: üzleti elemző vagy IT igényelemzés területen szerzett tapasztalat...,https://www.profession.hu/allas/rendszerszervezo-mvm-informatika-zrt-budapest-2250381?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['WORD', 'POWERPOINT', 'MS PROJECT', 'SAP', 'ENTERPRISE ARCHITECT', 'ITIL', 'OUTLOOK']"
